Bezeichnung,LP1,Empf. Beginn2,Bindung3
Einführungsmodul,10,1. o. 2.,Pflicht
Erziehungswissenschaftliche Forschung in Theorie und Empirie,10,1. o. 2.,Pflicht
Forschungsmethodenmodul,10,3. o. 4.,Pflicht
