Bezeichnung,LP1,Empf. Beginn2,Bindung3
Einführung in die Physik I,5,1.0,Pflicht
Einführung in die Physik II für Lehramt und Nebenfach,10,1.0,Pflicht
Rechenmethoden der Physik,10,1.0,Pflicht
Einführung in die Physik III/IV,15,3.0,Pflicht
Grundpraktikum,10,3.0,Pflicht
Einführung in die Klassische Mechanik und Elektrodynamik,10,6.0,Pflicht
