Bezeichnung,LP1,Empf. Beginn2,Bindung3
Grundlagen Ästhetische Bildung: Kunst,10,1. o. 2. o. 3. o. 4. o. 5.,Pflicht
Theorie der Künste: Kunst,10,1. o. 2. o. 3. o. 4. o. 5.,Pflicht
Künstlerische Praxis,10,1. o. 2. o. 3. o. 4. o. 5.,Pflicht
