Bezeichnung,LP1,Empf. Beginn2,Bindung3
Einführung in die Computerlinguistik,10,1.,Pflicht
Programmierung,10,2.,Pflicht
"Informationsstrukturierung, -analyse und -auswertung",10,3. o. 5.,Pflicht
Methoden der angewandten Computerlinguistik,5,4.,Pflicht
Vertiefungsmodul,10,4. o. 5.,Pflicht
Projektmodul,10,5.,Pflicht
Ausgewählte methodische Aspekte,5,1.,Wahl­pflicht
Formale Methoden,5,1.,Wahl­pflicht
