Bezeichnung,LP1,Empf. Beginn2,Bindung3
Einführungsmodul: Orientierung,10,1. o. 2.,Pflicht
Basismodul 1: Gattungsperspektiven,10,2. o. 3. o. 4. o. 5.,Wahl­pflicht
Basismodul 2: Literaturtheorie und Ästhetik,10,2. o. 3. o. 4. o. 5.,Wahl­pflicht
Basismodul 3: Literatur- und kulturgeschichtliche Grundlagen,10,2. o. 3. o. 4. o. 5.,Wahl­pflicht
