Bezeichnung,LP1,Empf. Beginn2,Bindung3
Grundmodul Bild- und Kunstgeschichte I,10,1.,Pflicht
Grundmodul Bild- und Kunstgeschichte II,10,2.,Pflicht
Modul Theorien und Methoden der Bild- und Kunstgeschichte,10,2. o. 3.,Pflicht
Hauptmodul Bild- und Kunstgeschichte der Vormoderne,10,3. o. 4.,Pflicht
Hauptmodul Bild- und Kunstgeschichte der Moderne,10,4. o. 5.,Pflicht
Modul Visuelles Orientierungswissen,10,5. o. 6.,Pflicht
