Bezeichnung,LP1,Empf. Beginn2,Bindung3
Prinzipien der Programmierung,10,1.,Pflicht
Grundlagen der Algorithmen und Datenstrukturen,5,2.,Pflicht
Grundlagen Theoretischer Informatik,5,2. o. 4.,Pflicht
