Bezeichnung,LP1,Empf. Beginn2,Bindung3
Die Bibel deuten und verstehen,10,1.,Pflicht
Kirchen- und Religionsgeschichte wahrnehmen und beschreiben,10,2. o. 3.,Wahl­pflicht
Theologie gestalten und kommunizieren,10,2. o. 3.,Wahl­pflicht
Christentum evangelischer Prägung,10,4. o. 5.,Wahl­pflicht
Andere Religionen und Weltanschauungen,10,4. o. 5.,Wahl­pflicht
Religion als gesellschaftliches Phänomen,10,4. o. 5.,Wahl­pflicht
Subjektive Religion,10,4. o. 5.,Wahl­pflicht
