Bezeichnung,LP1,Empf. Beginn2,Bindung3
Grundwissen Philosophie,10,1. o. 2.,Pflicht
Grundlagen Philosophie des Geistes,10,3. o. 4.,Pflicht
Vertiefung Philosophie des Geistes,10,5. o. 6.,Pflicht
