Bezeichnung,LP1,Empf. Beginn2,Bindung3
Prinzipien der Programmierung,10,1.0,Pflicht
Grundlagen Theoretischer Informatik,5,2.0,Pflicht
Grundlagen der Algorithmen und Datenstrukturen,5,2.0,Pflicht
Software Engineering,5,3.0,Pflicht
Software-Gruppen-Projekt,5,4.0,Pflicht
